token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
60000,https://assets.otherside.xyz/otherdeeds/586e1165e84d8860165ab9458443e7f54bfd82c1e785dee8f476cacdb5c71ab4.jpg,Mineral,Infinite Expanse,1,Crystal,5,,,,,,,Lumileaf,1,,60000,
60001,https://assets.otherside.xyz/otherdeeds/931148900349cb82596bf5899be3b4c5564c2d7b442cccee4f1dd62ce84ec59c.jpg,Volcanic,Infinite Expanse,1,Molten,1,,,Bonestone,1,Runa,2,Spikeweed,1,,60001,
60002,https://assets.otherside.xyz/otherdeeds/81b988c5b5d518dfd31d99e9772a6e95dc9cf09b1c46f9427d0461aea5c2e6dc.jpg,Spirit,Infinite Expanse,1,Steppes,5,,,Brimstone,1,Moldium,1,,,,60002,
60003,https://assets.otherside.xyz/otherdeeds/68e6f00299f7a9b26b05677ebd7272acb3661e625e18e8cfc4039ebd620f38f6.jpg,Harsh,Infinite Expanse,3,Wastes,2,,,,,,,,,Glass Eye,60003,
60004,https://assets.otherside.xyz/otherdeeds/a95fcf88a8a176ffc059c489bfe13b7985a7a1172b39053e44b12f06951b3f20.jpg,Decay,Infinite Expanse,1,Bog,2,,,Whisper,1,Nether,1,,,,60004,
60005,https://assets.otherside.xyz/otherdeeds/e4105479ccd84225f8a3913f4d6ec8e45d29176527d2bb067a231443991b3bab.jpg,Growth,Infinite Expanse,3,Jungle,2,Moldium,2,,,Lunarian,1,,,,60005,
60006,https://assets.otherside.xyz/otherdeeds/872720fead3749b02f76d400fbda4c56f61f90e5e09b744005f887fc4bc042bc.jpg,Spirit,Infinite Expanse,2,Sky,4,Kinsoul,1,Moldium,1,Nether,1,Petrified,2,Forged Pickaxe,60006,
60007,https://assets.otherside.xyz/otherdeeds/3be0c11ae0f78625e71d6a5dac264f11b23c1f475d8553e8838afb6404e0fb90.jpg,Spirit,Infinite Expanse,3,Sky,3,Psychosilk,1,,,Psychosilk,2,,,Rugged Hammer,60007,
60008,https://assets.otherside.xyz/otherdeeds/04471785f9857d80230aaec061ac530bf758a32d59973561f0f15ff6344bfbe7.jpg,Decay,Infinite Expanse,1,Bog,4,Runa,1,,,,,,,Camp Fire,60008,
60009,https://assets.otherside.xyz/otherdeeds/b9f5b002469253b8444823a83c1a9c3692ad4daf00c071773d99f57aa9c844c2.jpg,Mineral,Infinite Expanse,1,Biolume,3,,,,,Lumileaf,1,Psychosilk,1,,60009,2134
60010,https://assets.otherside.xyz/otherdeeds/7817338e590123e085eb8ebcc4d9374ae7187bd5437ff732d9b38082beaed1fd.jpg,Mineral,Infinite Expanse,3,Biolume,1,Lumileaf,1,Kinsoul,1,,,,,Forged Shovel,60010,
