token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
0,https://assets.otherside.xyz/otherdeeds/98de818747a85008c5b88b7125763067d9106ebc295296ee5a3c3f31e3527d29.jpg,Spirit,Biogenic Swamp,1,Steppes,4,Whisper,3,Lumileaf,3,,,Moldium,1,,0,9068
1,https://assets.otherside.xyz/otherdeeds/871079decce602d36188f532fe6623a15d8c6817ecd3bcd9b0c3a2933bb51c3b.jpg,Volcanic,Biogenic Swamp,2,Obsidian,1,,,,,Brimstone,3,Abyssia,3,,1,
2,https://assets.otherside.xyz/otherdeeds/96ad825867364361055d7a967e46f30298e8a05ae6c3556d63847f2b8ef6bb96.jpg,Spirit,Biogenic Swamp,3,Sands,1,Bonestone,2,Runa,1,Luster,1,Lumileaf,2,,2,
3,https://assets.otherside.xyz/otherdeeds/54abf723d8b4a7a885753fd4345b8d182f590ab150f7c9778d0a320b27b134bd.jpg,Harsh,Biogenic Swamp,2,Splinter,4,Spikeweed,3,Whisper,3,,,,,,3,
4,https://assets.otherside.xyz/otherdeeds/88e0c462929c07b4cc3bdfec785a1d980e664b12cccf5c69981b3d230e3242a8.jpg,Decay,Biogenic Swamp,3,Ruins,1,Lunarian,1,,,Lunarian,1,Moldium,3,Forged Pickaxe,4,
5,https://assets.otherside.xyz/otherdeeds/94ea6488aca918ce15a4d8549bc9eae475647a14ae7f7688cb587e0469162c99.jpg,Decay,Biogenic Swamp,1,Bog,1,,,Bonestone,1,Scumbria,3,,,,5,
6,https://assets.otherside.xyz/otherdeeds/18d8fe0a4854c694060a82b660e29cf6ab741b0e3a0175dbfb9cdceeadf04fbb.jpg,Spirit,Biogenic Swamp,2,Steppes,3,Lunarian,3,,,Psychosilk,2,,,Red Orb,6,
7,https://assets.otherside.xyz/otherdeeds/1f8be2446878dcee80e459bcd66bc671e2f27f949580f8ceb736acd5caf02c4b.jpg,Decay,Biogenic Swamp,2,Ruins,2,Lumileaf,2,,,Bonestone,1,,,,7,9565
8,https://assets.otherside.xyz/otherdeeds/aea9313ed5bc23aa4b31a192b743f531c483ca2a3648298482294c7a16191aa6.jpg,Growth,Biogenic Swamp,3,Mystic,1,Oblivion,2,,,Glowpod,3,,,,8,
9,https://assets.otherside.xyz/otherdeeds/b135217116c0bd7f81c8753e47fca4fd5af0660b1c1ab56afa27a95a30833aad.jpg,Decay,Biogenic Swamp,1,Thornwood,2,Nether,2,,,,,Psychosilk,2,,9,
10,https://assets.otherside.xyz/otherdeeds/ad21c256f6b2471b2f04593cbdfc4f2b5cdc14906395ce4fc27b65286f758ba6.jpg,Decay,Biogenic Swamp,3,Ruins,1,,,Bonestone,1,Oblivion,2,Chroma,1,,10,
11,https://assets.otherside.xyz/otherdeeds/146c4f5a87aa5758a30bf37e97d3603491c988f8b555e1f20cec9ab34361ef48.jpg,Psychedelic,Biogenic Swamp,1,Sludge,1,,,,,,,,,,11,
12,https://assets.otherside.xyz/otherdeeds/f0d8f9f64ed7f0e368e4c917b440a3be91e390911ce8c4ff4cc66bd6acb5d323.jpg,Decay,Biogenic Swamp,2,Plague,3,,,,,,,,,,12,
13,https://assets.otherside.xyz/otherdeeds/fe5a409701ecd865a92fa08285d464161e6c57c0190e93d1ed9e127559d7f5ae.jpg,Spirit,Biogenic Swamp,1,Sands,4,,,Brimstone,1,Psychosilk,3,Psychosilk,3,,13,
14,https://assets.otherside.xyz/otherdeeds/fee363d33e4a54bbcfcb021cff651ddfc7c4db97ac3323a0f2d1c6fe9932e371.jpg,Decay,Biogenic Swamp,1,Thornwood,4,Duskia,1,Runa,1,,,,,,14,
15,https://assets.otherside.xyz/otherdeeds/6cfe7c28fd6703117f5957d723421debae3b582c45c390cdc9bf1dc7cc75226c.jpg,Decay,Biogenic Swamp,3,Ruins,1,,,,,,,Lumileaf,2,,15,8047
16,https://assets.otherside.xyz/otherdeeds/fe4ecc548359330dcec62b2e3f97d77c5a4d310bebb44536aced86ab8485fc09.jpg,Harsh,Biogenic Swamp,2,Bone,3,Whisper,3,,,,,Runa,3,,16,
17,https://assets.otherside.xyz/otherdeeds/b9ecb50546722cf2105c62d2174fe191d47c88c42f6860fa59b6601350597bda.jpg,Decay,Biogenic Swamp,1,Bog,2,,,Bonestone,3,,,,,,17,
18,https://assets.otherside.xyz/otherdeeds/94850aefa43349be410ea7bc162f4669fb057c0240e0af33f36f83d6161d729f.jpg,Volcanic,Biogenic Swamp,1,Sulfuric,2,,,,,Runa,1,,,,18,
19,https://assets.otherside.xyz/otherdeeds/a3f2d521efaf1799c2b09641adfb48297710eda37325fe56b6ae80e1ec455b0d.jpg,Harsh,Biogenic Swamp,1,Wastes,3,Lumileaf,2,Kinsoul,1,Spikeweed,1,,,,19,
21,https://assets.otherside.xyz/otherdeeds/84b10cf9428e562b409080e9b18a950046da9e56b057c05e3c6a430224c8ea7a.jpg,Psychedelic,Biogenic Swamp,1,Mallow,2,Lumileaf,3,,,Mallo,3,Entropy,1,Rugged Pickaxe,21,
