token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
20000,https://assets.otherside.xyz/otherdeeds/2ab893a583fdadc5cb41d923048e6f99c04bcd16b750afd1b93c11fc36496126.jpg,Decay,Chemical Goo,1,Thornwood,5,,,,,Spikeweed,1,,,Vivec,20000,
20001,https://assets.otherside.xyz/otherdeeds/96cfd8f00ad0160247e00e3f928bf84be28d167bfc34cc868e1a4e79981205e8.jpg,Spirit,Chemical Goo,1,Veldan,4,,,,,,,,,,20001,
20002,https://assets.otherside.xyz/otherdeeds/1264a970465e98e2c05cfa299b4dd9d4fd57f5b512e99388b1f8a40db9d80252.jpg,Mineral,Chemical Goo,1,Spires,2,Pyrum,1,,,Luster,3,,,,20002,
20003,https://assets.otherside.xyz/otherdeeds/81e132211addd5e4545aa0243c1a3fd2133422ec26fd9b05bf7d038cb9379853.jpg,Volcanic,Chemical Goo,2,Crimson,2,Spikeweed,1,,,Pricklia,1,,,,20003,
20004,https://assets.otherside.xyz/otherdeeds/503a3bee6da45ded7e90198b901b8dc393cb33efd68180d041de804eb461e3d9.jpg,Spirit,Chemical Goo,1,Veldan,1,,,,,,,,,,20004,
20005,https://assets.otherside.xyz/otherdeeds/98701252a3528520dc8d31df73a74fa20caab471334993551e27d586b72705aa.jpg,Psychedelic,Chemical Goo,2,Shadow,2,,,,,Lunarian,2,,,,20005,
20006,https://assets.otherside.xyz/otherdeeds/74b4c557e3bb12633cf8bf3bdeea2d546eb987ce937d51f46f89295056b900aa.jpg,Decay,Chemical Goo,2,Ruins,1,Luster,1,Prysmatica,2,Lumileaf,1,Spikeweed,1,,20006,
20007,https://assets.otherside.xyz/otherdeeds/14cc9734f697bedc12bfd656d85182b73b93da630bc7851c6f5d39682608e06f.jpg,Spirit,Chemical Goo,2,Steppes,2,,,Lunarian,3,,,Moldium,1,Mecha Piece,20007,
20008,https://assets.otherside.xyz/otherdeeds/227a48343b5478c44012f69dcd2db5ab0240b550dbfb2867ceef146e62cb034e.jpg,Harsh,Chemical Goo,3,Splinter,3,,,,,Lunarian,1,,,,20008,851
20009,https://assets.otherside.xyz/otherdeeds/21217ceb56366649a2d59711cbf2d88df74aec9e4b2f4c7f8eee2a7865b9e267.jpg,Mineral,Chemical Goo,2,Crystal,3,,,,,,,,,,20009,
20010,https://assets.otherside.xyz/otherdeeds/be65614bfc26625d639de1bf69f33bd2ca6b41b84fc8923dcf0355c57635195f.jpg,Harsh,Chemical Goo,2,Wastes,4,,,,,,,,,,20010,
