token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
70000,https://assets.otherside.xyz/otherdeeds/d7e920a5beb4acccccea20a3a3b8ef912eecebd38547677c2ef7ef359ec72186.jpg,Spirit,Rainbow Atmos,1,Sky,1,,,,,,,,,,70000,
70001,https://assets.otherside.xyz/otherdeeds/5b696b0eadd85e211ce59314dc4bcb7e70d859bc1f7ffc9e268d2cd84e2e335e.jpg,Spirit,Rainbow Atmos,1,Sky,4,,,,,Runa,2,Oblivion,1,Fairy in a Jar,70001,7199
70002,https://assets.otherside.xyz/otherdeeds/dab17652ec7948a9a3ef5cefa88056c01664cfc748eb26e03d83cd99c03f88b4.jpg,Harsh,Rainbow Atmos,1,Wastes,2,,,,,,,Petrified,1,Sands of Time,70002,
70003,https://assets.otherside.xyz/otherdeeds/0729e0d515ac40ea3a4a0e9069091451b8adbf2b7e1b76f6229893a1618796f1.jpg,Decay,Rainbow Atmos,3,Plague,3,,,,,,,,,,70003,
70004,https://assets.otherside.xyz/otherdeeds/988fe693da294bbf65b9190005a326dcfb25ec5d771c516c30e064dec5d493c7.jpg,Decay,Rainbow Atmos,2,Ruins,1,,,Petrified,1,Bonestone,1,Bonestone,2,Forged Hammer,70004,
70005,https://assets.otherside.xyz/otherdeeds/90946ad844ce81dd5b201e7889f98e536a3fd506e0214121d699c557541f2821.jpg,Mineral,Rainbow Atmos,1,Crystal,3,,,Luminite,2,Etheria,2,Etheria,2,Celestial Tear,70005,
70006,https://assets.otherside.xyz/otherdeeds/447ddf73fc335b589b826c3d1282047e3f045366ade2da148d6b1857f7097df6.jpg,Spirit,Rainbow Atmos,1,Sands,4,,,,,,,,,,70006,
70007,https://assets.otherside.xyz/otherdeeds/7cef3664d6dcd5c14634dd620ba221ca967b676d55389d130487d96cbd28eb96.jpg,Growth,Rainbow Atmos,3,Jungle,2,,,,,,,Psychosilk,2,,70007,
70008,https://assets.otherside.xyz/otherdeeds/5153868f303019db90b113a08935b6021e81cf6651c786acd8586b355b541358.jpg,Decay,Rainbow Atmos,1,Bog,2,,,Bonestone,1,,,,,,70008,
70009,https://assets.otherside.xyz/otherdeeds/7ef00f7bb12db182fbfed952b705b893cb0239f08eb64cfc73f6a44642ba8383.jpg,Psychedelic,Rainbow Atmos,2,Acid,1,,,Lunarian,1,Brimstone,3,Luster,2,,70009,
70010,https://assets.otherside.xyz/otherdeeds/8f32d5008963d34815dd1d5c52115ab030c2c0c6c33ba963518367a6f2ff059d.jpg,Decay,Rainbow Atmos,1,Thornwood,1,Duskia,1,Whisper,1,Brimstone,1,Nocturna,2,,70010,
70011,https://assets.otherside.xyz/otherdeeds/8a918aba5e0e3414322f514203d41236ac948aacdd677409b9001f7f061162ea.jpg,Decay,Rainbow Atmos,1,Thornwood,3,Spikeweed,3,,,,,,,,70011,
70012,https://assets.otherside.xyz/otherdeeds/15c64df6f6f61cd0eba548a01383731519b872c609e07aa8a420da664fcb4570.jpg,Decay,Rainbow Atmos,1,Plague,1,Bonestone,2,Bonestone,1,,,,,,70012,
70013,https://assets.otherside.xyz/otherdeeds/c9bc3c7cd773c8da6878a5ae69a29690d7f1f45b0d2bae5dc7f1f3f52aa26f2f.jpg,Decay,Rainbow Atmos,1,Bog,5,,,Whisper,1,,,,,,70013,
70014,https://assets.otherside.xyz/otherdeeds/73eb3506c8bbd07dc66e9447cc48a50b706375f99120609e45a5c6b6f94dc9c0.jpg,Decay,Rainbow Atmos,2,Bog,1,,,,,,,,,,70014,
70015,https://assets.otherside.xyz/otherdeeds/97c1e3c9df2f84e24c7fdea7a49895915c725a745f206b2b30f99830a366d32d.jpg,Spirit,Rainbow Atmos,1,Steppes,1,Runa,1,Petrified,1,,,,,,70015,
70016,https://assets.otherside.xyz/otherdeeds/75b2ed446c90011ad1b339ed4229d7d6cf6c86249ddd68eab69c274f6afb8637.jpg,Growth,Rainbow Atmos,1,Mystic,2,,,Glowpod,1,,,,,,70016,
70017,https://assets.otherside.xyz/otherdeeds/22e3455ccf03265d073461843f0752f30683e39a1769ae66f1ca097726523fdf.jpg,Spirit,Rainbow Atmos,1,Steppes,1,Lumileaf,2,,,Spikeweed,1,,,,70017,
70018,https://assets.otherside.xyz/otherdeeds/803271342620b648ad6f17024a9000d40b023ef230933197a4d804189cc70e53.jpg,Volcanic,Rainbow Atmos,1,Sulfuric,3,,,,,,,,,,70018,
70019,https://assets.otherside.xyz/otherdeeds/48919afd470d58538792d9aa6abfca005c3bec1db1bbb6f3575458029ed9bb83.jpg,Spirit,Rainbow Atmos,1,Sands,5,Runa,1,,,Bonestone,1,,,,70019,
70020,https://assets.otherside.xyz/otherdeeds/19e497db5a7da46579d8b4a6ea006c835541fa2cd6e5cddde18f8e6eca0e1888.jpg,Mineral,Rainbow Atmos,2,Crystal,1,Psychosilk,2,,,Etheria,1,,,,70020,
70021,https://assets.otherside.xyz/otherdeeds/a39fbfd8951f498817df43be4c7f6c4d468f1e56e7fb6f40553f07893749cac9.jpg,Harsh,Rainbow Atmos,2,Bone,3,Bonestone,1,Runa,3,Fossica,1,Nether,1,Ancient Coin,70021,
70022,https://assets.otherside.xyz/otherdeeds/e4585c0f0b239bd675889fbe0e70efd75c70677128bcee76b47a22ba15d6dc46.jpg,Decay,Rainbow Atmos,1,Thornwood,3,,,Runa,1,Spikeweed,3,,,,70022,
70023,https://assets.otherside.xyz/otherdeeds/ddb20652a1de9d32a321789ff699bc08d19dc8d43a252fb63c2cfc10cf442dc8.jpg,Growth,Rainbow Atmos,3,Botanical,2,Lunarian,2,Sporicite,1,Brimstone,1,Moldium,1,,70023,
70024,https://assets.otherside.xyz/otherdeeds/5bf18084864dfe8c6266739d1088381efc9fcc4646f8137097b26b801cb9db88.jpg,Psychedelic,Rainbow Atmos,2,Mallow,1,,,Runa,1,,,,,,70024,
70025,https://assets.otherside.xyz/otherdeeds/3d807c68fcfadf0b77999841a4e9eb513ba72850e6c2753b2002a148950e9506.jpg,Volcanic,Rainbow Atmos,2,Crimson,5,,,,,Bonestone,3,,,,70025,
70026,https://assets.otherside.xyz/otherdeeds/c4d21f3ab7ff7b40a581d4cee3b492140a7551cc6b04ac6eb496d76ec96e8a19.jpg,Harsh,Rainbow Atmos,3,Splinter,2,Steppesalt,1,,,Claymer,1,Brimstone,3,,70026,
70027,https://assets.otherside.xyz/otherdeeds/677449b1c7ad147ad98c808a4f45941e033d408a57d6cb534dcddbcfaabffde3.jpg,Decay,Rainbow Atmos,1,Bog,3,,,Brimstone,1,,,Runa,1,,70027,
70028,https://assets.otherside.xyz/otherdeeds/2fe60b289aba82453e07a4c307144ee20619d1dcb0b1c2d8e87008365efeef58.jpg,Volcanic,Rainbow Atmos,1,Sulfuric,3,Sulfirica,3,Petrified,2,Oblivion,3,Lunarian,1,,70028,
70029,https://assets.otherside.xyz/otherdeeds/223cf6afb5951dd98cd6839ba935b4fae4e39dca5169040f199bf07dcdb3b4a7.jpg,Psychedelic,Rainbow Atmos,2,Mallow,2,Luster,1,,,Spikeweed,3,,,Celestial Orb,70029,
70030,https://assets.otherside.xyz/otherdeeds/80b2e51fc5f3ff0fd63a6f5b17b1827d9308a6b8e63f9fe267c271561788cf4b.jpg,Harsh,Rainbow Atmos,1,Splinter,3,,,,,,,Claymer,1,,70030,
70031,https://assets.otherside.xyz/otherdeeds/de956a0fd5cc31ccb812fcef721ae4000910486db5c48cbc646535ddb775c9e8.jpg,Decay,Rainbow Atmos,1,Thornwood,3,,,,,,,Lunarian,1,,70031,
70032,https://assets.otherside.xyz/otherdeeds/e50442ee627ce66c8fd8d0f794cf7265936ec583eb0411d7ada2dc066f107e76.jpg,Volcanic,Rainbow Atmos,3,Obsidian,1,Spikeweed,1,,,Runa,3,,,,70032,
