token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
80000,https://assets.otherside.xyz/otherdeeds/7ae4a57d5807702d30a9a07310c3762a847bb18b54f4190b29d0b439081dfe35.jpg,Harsh,Rainbow Atmos,2,Wastes,1,Oblivion,1,Lumileaf,3,Kinsoul,1,,,Mia,80000,
80001,https://assets.otherside.xyz/otherdeeds/81d53858043ff13e323dd96e0548a48c8f919b217ef1597a6a85a7632b595898.jpg,Mineral,Rainbow Atmos,1,Luster,2,,,Aurelian,1,Kinsoul,2,Kinsoul,1,,80001,
80002,https://assets.otherside.xyz/otherdeeds/f0675de9cff461648630593481b0d827f6e39db4e232975ad05aa5c127ff87f7.jpg,Mineral,Rainbow Atmos,1,Biolume,2,Oblivion,3,Fortuna,1,,,,,,80002,
80003,https://assets.otherside.xyz/otherdeeds/1d6ef7b4daf4606bec04e0d3fdf8ce01f77d7add2435cc485b7aeb5bf4320247.jpg,Decay,Rainbow Atmos,1,Ruins,2,Luster,1,,,,,,,,80003,
80004,https://assets.otherside.xyz/otherdeeds/c7f050be19c765ee8e96599f84e006636bf1edf91891546c261cd80ff53b5704.jpg,Mineral,Rainbow Atmos,2,Spires,2,,,,,,,Lunarian,1,,80004,
80005,https://assets.otherside.xyz/otherdeeds/39cd2e7a8db1e833031a83eb560920506a68a1f1567416ea4663e6e39282c4fa.jpg,Mineral,Rainbow Atmos,2,Crystal,2,Bonestone,3,Nether,3,,,Bonestone,2,,80005,
80006,https://assets.otherside.xyz/otherdeeds/c164e7194994dc17d62a0967aa126d6438190b8dba5aa8e66ab504511c2a808d.jpg,Decay,Rainbow Atmos,1,Plague,5,,,,,Bonestone,1,,,,80006,
80007,https://assets.otherside.xyz/otherdeeds/5e5e1d6838abb3804be3393b3ae9ec2de3ab546421b2678cafb58bb180e2f991.jpg,Decay,Rainbow Atmos,1,Thornwood,2,,,,,,,,,Rugged Axe,80007,
80008,https://assets.otherside.xyz/otherdeeds/a7a091104e68be0dadfa6975f7b3e4d6c3e6b2f53b8ebb41c34ebc14c25eb409.jpg,Growth,Rainbow Atmos,1,Botanical,1,,,Brimstone,1,Spikeweed,2,Luster,1,Slime Juice,80008,7979
80009,https://assets.otherside.xyz/otherdeeds/9d5ba54886b2499ffd6a9a41f3bd2df12c0ca63202daea6b9e8942ce41280978.jpg,Growth,Rainbow Atmos,3,Botanical,1,,,Sporicite,2,Whisper,2,,,,80009,
80010,https://assets.otherside.xyz/otherdeeds/6e9725cf42e5210b454d10e89fff9b95ccf1d71a2f67c019dcffcf9eeb34f90d.jpg,Spirit,Rainbow Atmos,1,Sky,1,Luster,1,Runa,3,Oblivion,3,Kinsoul,2,Card from a Deck,80010,3716
80011,https://assets.otherside.xyz/otherdeeds/9c1e3ad64de632a17f36caee726b4ebc3302c912154a53b3920b9e4e68bd3282.jpg,Spirit,Rainbow Atmos,3,Veldan,4,Spikeweed,1,Bonestone,2,Oblivion,1,,,,80011,
80012,https://assets.otherside.xyz/otherdeeds/3e30d075a3a0e4abfeb202f8631690c25d9eec7aa47f53dfb7fdff4d8df32225.jpg,Psychedelic,Rainbow Atmos,1,Shadow,1,,,Nether,1,Nether,2,,,,80012,
80013,https://assets.otherside.xyz/otherdeeds/029eb6fa2ae8022d8d0491eb2bf66ed48cdb269af3371885a5706f2f5856e1ca.jpg,Decay,Rainbow Atmos,1,Bog,2,Lunarian,1,Lunarian,1,,,Luster,1,,80013,
80014,https://assets.otherside.xyz/otherdeeds/a3142746f736dea97ad0489d2ca9ed5afaa12afc1c48d7360336d91f56a0a4d0.jpg,Volcanic,Rainbow Atmos,2,Sulfuric,1,,,,,,,Brimstone,2,,80014,
80015,https://assets.otherside.xyz/otherdeeds/c0162d29a4a292175dcd2c03c4168388b5567ed274ef7bcd873f3d9ad68c8607.jpg,Harsh,Rainbow Atmos,3,Glacia,4,,,,,Runa,1,,,,80015,
80016,https://assets.otherside.xyz/otherdeeds/5537a3300919af5280c179e7d596ffbbcf382f4adb2025c5674e29322b585d31.jpg,Harsh,Rainbow Atmos,2,Glacia,4,Oblivion,2,,,Luster,2,,,,80016,2087
80017,https://assets.otherside.xyz/otherdeeds/92279a3f1bac368e895f119b53756a11becd0bda6060cfcc56bea24008c6a34d.jpg,Decay,Rainbow Atmos,1,Plague,1,,,Moldium,3,Luster,1,,,,80017,
80018,https://assets.otherside.xyz/otherdeeds/aea7daffe2345f1ce006b0e054139c2ca6ad1302ade373dff0b1955fef40d8ea.jpg,Mineral,Rainbow Atmos,3,Spires,2,,,,,,,,,,80018,
80019,https://assets.otherside.xyz/otherdeeds/e608260b065429c0adafe7c500a4e86e5f3721e048ab85ea136a993b3ac8898a.jpg,Psychedelic,Rainbow Atmos,2,Sludge,1,Oblivion,2,Lumileaf,3,Petrified,1,Spikeweed,2,,80019,
80020,https://assets.otherside.xyz/otherdeeds/ca7cf2d2341402d587435e2fa339529f682c454cae0547b8708098a8a56bd652.jpg,Mineral,Rainbow Atmos,1,Luster,2,,,,,,,,,Forged Shovel,80020,
80021,https://assets.otherside.xyz/otherdeeds/341dec97a3bee06b3933bda41be82bb6c66c26c4b9d4dfda249fa31e365e4884.jpg,Psychedelic,Rainbow Atmos,1,Shadow,3,Lumileaf,1,,,,,Lumileaf,1,,80021,
80022,https://assets.otherside.xyz/otherdeeds/f8a483347b301bacdd6b486da006867b4cd0fec75fa0d67b95571166482579b1.jpg,Spirit,Rainbow Atmos,1,Sky,1,Psychosilk,2,Moldium,1,Kinsoul,2,Moldium,1,,80022,4929
80023,https://assets.otherside.xyz/otherdeeds/bb0ac7ebcf1c9f6a4dcea4d3d7a0c71c5ceebfefff0eca2ea35707aa6cfdc393.jpg,Harsh,Rainbow Atmos,2,Bone,2,,,,,,,,,Slime Juice,80023,
80024,https://assets.otherside.xyz/otherdeeds/7dfd80d64f1da2a0ab4af3bb8ae69ca84734e7b0186cbffce38ac7b69b1b5c52.jpg,Volcanic,Rainbow Atmos,2,Molten,1,,,,,,,,,Card from a Deck,80024,
80025,https://assets.otherside.xyz/otherdeeds/f433489eb11b1dc42a4bb6f79b03bea714e66b7bf9cf9f60fc662e78c83b7afa.jpg,Spirit,Rainbow Atmos,2,Steppes,3,Vaporhaze,2,,,Runa,1,,,,80025,
80026,https://assets.otherside.xyz/otherdeeds/0147edf71b90f715353621e46118cc2b95e8b13aab05206e9008de7f4e59aa1c.jpg,Decay,Rainbow Atmos,1,Thornwood,1,Petrified,1,,,Psychosilk,3,Lunarian,3,,80026,
80027,https://assets.otherside.xyz/otherdeeds/0dee78589635eb260e34f36d100ceb0350df95be214b9811b7fa24864be9676d.jpg,Volcanic,Rainbow Atmos,2,Crimson,4,,,Lunarian,1,,,Lumileaf,1,,80027,
80028,https://assets.otherside.xyz/otherdeeds/147b9c3ff0f6b8c766a5af786a007bdccd8eadf3b2a4a83edf3882451bd8101f.jpg,Decay,Rainbow Atmos,2,Thornwood,3,,,,,,,Whisper,2,,80028,
80029,https://assets.otherside.xyz/otherdeeds/2cebf91f00c44d65b9a09f6c558de425b14f189173a7ce79ff78c519a33fbd29.jpg,Decay,Rainbow Atmos,1,Plague,1,,,,,,,Brimstone,1,,80029,
80030,https://assets.otherside.xyz/otherdeeds/3a379dea061912d599bcd034b559c534670514e25f48c367f10fea2e12a7609f.jpg,Decay,Rainbow Atmos,2,Bog,3,,,,,,,Oblivion,2,,80030,
80031,https://assets.otherside.xyz/otherdeeds/1c7674fa37bfccc95a785d64f3f910674f9fc2988110df64486c92714028d847.jpg,Harsh,Rainbow Atmos,1,Glacia,4,,,,,Oblivion,2,Bonestone,2,,80031,
80032,https://assets.otherside.xyz/otherdeeds/e52f46f1d3085223cdd3ce460e468f2cdf21166509bf7a1e5ada4ee376d5a7d8.jpg,Harsh,Rainbow Atmos,1,Splinter,3,Kinsoul,1,,,Nether,2,,,,80032,
80033,https://assets.otherside.xyz/otherdeeds/4f15f82ac9eecf4641a7cd3d0402f8b07c697ca1319732ce4942cfbb9b887e9b.jpg,Psychedelic,Rainbow Atmos,2,Acid,1,,,Brimstone,1,Luster,1,,,,80033,
80034,https://assets.otherside.xyz/otherdeeds/bfd8ad8bf68d1469e2db403c56b0a7addc3276864f9367bc1d8b04c176bce56e.jpg,Harsh,Rainbow Atmos,1,Glacia,3,,,,,,,,,,80034,
80035,https://assets.otherside.xyz/otherdeeds/f592cb58c3fefc380745ff22fe747231ea85ee85da8296945cc1dee5db684156.jpg,Decay,Rainbow Atmos,1,Bog,1,,,Moldium,2,Lunarian,1,,,Lapis,80035,
80036,https://assets.otherside.xyz/otherdeeds/256eb8ac8c5bed6ebf631f2e67053823765289a8fa0289289420e810039b3059.jpg,Volcanic,Rainbow Atmos,1,Molten,5,,,Moldium,2,Lunarian,1,,,Celestial Tear,80036,
80037,https://assets.otherside.xyz/otherdeeds/5bcd3d159d4f99fb6ae127a04040d1df427b21e329685e92ffc7d312ffb558dd.jpg,Psychedelic,Rainbow Atmos,3,Sludge,3,Runa,1,Spikeweed,3,Moldium,1,Nether,1,,80037,
80038,https://assets.otherside.xyz/otherdeeds/9c6bd6f01dce624a4bd3fdb9d7d42d92f40a78cfe9057e9bd3d451c97cf62a6b.jpg,Mineral,Rainbow Atmos,1,Biolume,2,,,Runa,2,Whisper,3,Psychosilk,1,,80038,
80039,https://assets.otherside.xyz/otherdeeds/3091cf1894bfb15687eb28df86f0e9742a0add8b626bae7241be119489c2837f.jpg,Mineral,Rainbow Atmos,1,Crystal,5,,,,,,,,,,80039,
80040,https://assets.otherside.xyz/otherdeeds/81679f9c8a2d4b261180f00baa1367dc66ee09fe58c5a96d2e6607e82892dc24.jpg,Harsh,Rainbow Atmos,2,Glacia,4,,,,,Psychosilk,2,,,,80040,
80041,https://assets.otherside.xyz/otherdeeds/8501b84ba1a56e4831ac62e15f2a24c387a8eda89804e1307945fbf79b68e1bf.jpg,Harsh,Rainbow Atmos,1,Wastes,3,,,Nether,1,Hollowcine,1,,,,80041,
80042,https://assets.otherside.xyz/otherdeeds/04183fbcb52097146d33fd83522deece1436600a5fc4db86c6f972d4b2b2df18.jpg,Decay,Rainbow Atmos,1,Plague,2,Spikeweed,1,,,Runa,2,,,,80042,
80043,https://assets.otherside.xyz/otherdeeds/e45e5180f2de98abf7a4f00dd4df7799454f059ae09c6c46fb88fe55365469ec.jpg,Volcanic,Rainbow Atmos,2,Crimson,4,,,,,Bonestone,1,,,,80043,
80044,https://assets.otherside.xyz/otherdeeds/7ecacd4b1529215cf8ccc933b53354c94526139f050d994cd74fa8524fd98d5e.jpg,Decay,Rainbow Atmos,1,Bog,1,,,Scumbria,1,,,Nether,1,,80044,
80045,https://assets.otherside.xyz/otherdeeds/893424724a4a0d641f835d993ab87014d88df1c8277fc77a2445ca2a0acf58f5.jpg,Harsh,Rainbow Atmos,2,Wastes,1,,,Obsilica,3,Whisper,3,Hollowcine,3,,80045,326
80046,https://assets.otherside.xyz/otherdeeds/c1ffdbaf9fd101e3d0ddda11732f293c98cd5eba09c34d246920bd59d2fdcf31.jpg,Decay,Rainbow Atmos,3,Bog,3,Bonestone,1,Scumbria,2,,,Moldium,1,,80046,
80047,https://assets.otherside.xyz/otherdeeds/484aec915e634ca36de8588c20b5bd64097fd42e04db0bbff3a260ab240c7532.jpg,Mineral,Rainbow Atmos,1,Biolume,1,,,,,Whisper,2,,,,80047,930
80048,https://assets.otherside.xyz/otherdeeds/add14f964f7dc2c78727652db5aa36014f7e75ecbee80cf749cd03a15194a534.jpg,Volcanic,Rainbow Atmos,2,Sulfuric,1,,,,,,,Sulfirica,3,,80048,
80049,https://assets.otherside.xyz/otherdeeds/5b451ea730b107b3d924ac0fe065afd8a7be9a7481c4437c40311a5e28329b95.jpg,Spirit,Rainbow Atmos,1,Steppes,1,Vaporhaze,2,Lumileaf,3,,,Vaporhaze,1,,80049,4752
80050,https://assets.otherside.xyz/otherdeeds/4b36879ad911be8ede124d05343cc78fc8892dfd5dd353eb3cd1f7c441042f42.jpg,Spirit,Rainbow Atmos,2,Steppes,4,,,,,,,Moldium,3,,80050,
80051,https://assets.otherside.xyz/otherdeeds/5398e6d5ebbc2b75d57ce1cc5b489026a41fb6c7e990d018b208fdd93b5399b5.jpg,Growth,Rainbow Atmos,1,Mycelium,2,Kinsoul,2,Runa,3,,,Oblivion,1,,80051,
80052,https://assets.otherside.xyz/otherdeeds/80ec654ead4d04325318db87154825d8bee327dac57bcec93530abb7df81aaab.jpg,Volcanic,Rainbow Atmos,1,Obsidian,4,,,Nether,1,Onyx,3,,,,80052,
80053,https://assets.otherside.xyz/otherdeeds/7b19d974383d902ba28b6930400a752cbb454d58b289936c0e56fc003107c6c9.jpg,Harsh,Rainbow Atmos,1,Bone,1,,,,,Spikeweed,3,Spikeweed,3,,80053,
80054,https://assets.otherside.xyz/otherdeeds/ef8238031bf770c3f6eff9f4fd0435b06da1babc0a067f0942fb274141262767.jpg,Psychedelic,Rainbow Atmos,2,Shadow,1,,,,,Bonestone,1,,,,80054,
80055,https://assets.otherside.xyz/otherdeeds/6a1866ec6c7393ca61d9131c9f66283a314a2278fb98c0aad2b0631022ede033.jpg,Decay,Rainbow Atmos,1,Thornwood,2,Nocturna,3,Psychosilk,2,Duskia,3,,,,80055,
80056,https://assets.otherside.xyz/otherdeeds/c25759831024fcb8569532a625746cf4c7ec5772e1e2c089b31d07e66c6a0b44.jpg,Mineral,Rainbow Atmos,3,Biolume,3,,,Luster,1,Lumileaf,1,,,Vivec,80056,6928
80057,https://assets.otherside.xyz/otherdeeds/da4ede6a85ba926696866f10a564b23eb6996be919a941ec6503a2a65b57a525.jpg,Decay,Rainbow Atmos,1,Plague,5,Petrified,1,Bonestone,3,Moldium,3,Spikeweed,1,,80057,
80058,https://assets.otherside.xyz/otherdeeds/82756a12ddc566cf9bb3bb5a320680fbe64f1a554c4509c798b7e92ac5dce0b6.jpg,Growth,Rainbow Atmos,2,Jungle,4,Petrified,2,,,,,,,,80058,
80059,https://assets.otherside.xyz/otherdeeds/9fcf19168a3c83e86ba8c365575662396eb4f3fd378fb24b40b4428afb580184.jpg,Mineral,Rainbow Atmos,2,Spires,1,,,,,Brimstone,3,Runa,1,Glass Eye,80059,7964
